timestamp_sec,icX_left,icY_left,icZ_left,igX_left,igY_left,igZ_left,icX_right,icY_right,icZ_right,igX_right,igY_right,igZ_right,stimulus_order_from_viewers,reference_fixation_id
-0.0201488,-47.268909563350014,-244.05557930846064,-800.1752533549965,-0.0489097844393217,-0.0043869334421236,-0.9987935661592308,9.630929458031645,-250.19484691126013,-797.8076765250817,-1.7281950973353083e-05,-0.0221208286516009,-0.9997553043825778,,
-0.0118892,-47.272955790085554,-244.05803744561555,-800.182588677039,-0.0476067227762832,-0.0044860526372875,-0.9988560833664863,9.627249416904109,-250.19276972422767,-797.8088241891841,0.0001578966909523,-0.022494920818585,-0.999746944784529,,
-0.003451,-47.27431287721558,-244.05561973723857,-800.1767256604438,-0.0519476456411343,-0.004410353946025,-0.9986400707414128,9.723978486321784,-249.86131463773089,-797.4493209240253,-0.0007529510567345,-0.0215004297894666,-0.9997685555085108,,
0.0048376,-46.80075958074431,-245.92788879501288,-798.7231250615383,-0.050019568149869,-0.0071513191343478,-0.998722634887554,9.715539636434528,-249.86839461659105,-797.4682980936652,0.0017851099978856,-0.0205743140737609,-0.9997867327498848,,
0.013233,-46.799819327007214,-245.92112097837943,-798.7154990460609,-0.0500492394332839,-0.0084248262732824,-0.9987112174870242,9.718456149871422,-249.8633212511845,-797.4522071644105,0.0008964837806077,-0.0200410159011426,-0.9997987567498176,,
0.021487,-46.79788281837132,-245.9224873880785,-798.7144202971906,-0.0512345389497342,-0.0079869280738096,-0.9986547105974872,9.72133556612816,-249.8610920494524,-797.4425071866266,0.000454599525913,-0.0211191660327746,-0.9997768621874338,,
0.0298595,-46.79710315765797,-245.91884076970328,-798.7126537116565,-0.050029782579199,-0.0084123961470539,-0.9987122971337352,10.13008959804067,-249.93186480118877,-797.7326130571547,0.002608932984669,-0.0215268081825097,-0.9997648673553972,,
0.0380734,-46.73426846336409,-246.3832812374812,-798.5128616062029,-0.0493147306030686,-0.0087447853670183,-0.998745005531658,10.128464587937556,-249.9396178778084,-797.7530624818897,0.0019555591741547,-0.0205026194344246,-0.999787886696295,,
0.0464561,-46.73143722130902,-246.38441397468895,-798.5198485772512,-0.0495601113892666,-0.0094223163551569,-0.9987266970065368,10.12565565103834,-249.9410353811075,-797.752549846758,0.0028440728382315,-0.0203742574486497,-0.9997883780496286,,
0.0548253,-46.7335810063612,-246.38413198334223,-798.5203105003965,-0.0500661643921833,-0.0097214478816343,-0.998698589482402,10.13082711033043,-249.92938481179408,-797.7419669455279,0.0034972032901287,-0.0202334209725395,-0.9997891668971494,,
0.0632129,-46.73332481462842,-246.38487598904683,-798.5127241345756,-0.048986022632536,-0.0073391243350493,-0.9987725000422464,10.924293559011048,-249.4894576128416,-797.7287957118544,0.0029718036693659,-0.0203423966452855,-0.999788655307549,,
0.0714499,-45.52919309936869,-246.29710305993265,-799.0316396118992,-0.04848896744577,-0.0064497074974803,-0.99880289412338,10.924988259152787,-249.4854335567549,-797.7164304771339,0.0020176372295953,-0.0207314982939833,-0.999783043524192,,
0.079831,-45.52791440081621,-246.30036991826776,-799.0377007898692,-0.0469804662028135,-0.0086297125528219,-0.9988585304519462,10.923627121380775,-249.48702845846253,-797.7179208282065,0.0026109035048793,-0.0199918552932878,-0.9997967337938348,,
0.0881385,-45.529180203586,-246.29895643203363,-799.0279593389034,-0.0476384581045608,-0.0082603547993671,-0.9988304880448976,10.926640086682248,-249.48431616064244,-797.7131623888525,0.0021774389461013,-0.0197796250672667,-0.9998019929925296,,
0.0965186,-45.52727807508374,-246.3029125686004,-799.0349235723286,-0.0484702534433199,-0.0065452771889091,-0.9988031807506724,10.85297631694586,-250.49102817913968,-797.6011034190452,0.0020282323342058,-0.0221893894338404,-0.9997517278155372,,
