timestamp_sec,icX_left,icY_left,icZ_left,igX_left,igY_left,igZ_left,icX_right,icY_right,icZ_right,igX_right,igY_right,igZ_right,stimulus_order_from_viewers,reference_fixation_id
-0.0233416,-57.26308778042596,-251.30891141221267,-965.0465440631848,-0.0518257301301125,-0.0092524677263129,-0.9986132812743148,0.3359650208325639,-253.36549388714892,-958.4572128684264,-0.0105611735424732,-0.0158293568474859,-0.999818930144454,,
-0.0150406,-57.26308778042596,-251.30891141221267,-965.0465440631848,-0.0518257301301125,-0.0092524677263129,-0.9986132812743148,0.3331743601840671,-253.36863654789815,-958.4608554465711,-0.0096229849151473,-0.0150465665433147,-0.9998404867760556,,
-0.0064254,-57.25752470593693,-251.3136987402077,-965.0493860757772,-0.0517606775657789,-0.0087327633024051,-0.998621335193193,0.3364436737618064,-253.3698775796479,-958.468595283448,-0.0101681724118353,-0.0143548877370786,-0.9998452607618132,,
0.0016927,-57.25971449851019,-251.30177115484645,-965.0397105291776,-0.0517931283275295,-0.0091536014108065,-0.9986158838308452,-0.2158015440425131,-255.4976977986047,-957.5096400418244,-0.0094881728429846,-0.0168983219310322,-0.9998121930102756,,
0.0101641,-58.276267387071314,-252.2049529633254,-964.6257327570218,-0.0535657975889593,-0.0089786197745559,-0.998523955504124,-0.2168808796909438,-255.4958095366816,-957.5112700800474,-0.009323557385101,-0.0176985124471008,-0.9997998969468072,,
0.0183375,-58.27666831082702,-252.2042247958318,-964.6255559139468,-0.0542720102029675,-0.0090175058304018,-0.9984854698477726,-0.2150618692915422,-255.49068058506128,-957.50491903827,-0.0106523254234633,-0.0168546432182095,-0.9998012047227486,,
0.0267153,-58.27594100523719,-252.19585128699765,-964.6132014610728,-0.0530578508428211,-0.0101003380485702,-0.9985403585410282,-0.2179534858072429,-255.50326059635128,-957.51675921866,-0.0095459691335526,-0.0177443669645663,-0.99979698534969,,
0.0349562,-58.27784800513356,-252.2032478417573,-964.618209079262,-0.0536368586605197,-0.0093822980290343,-0.9985164294475708,-1.077223808237651,-255.5459093824157,-957.5226975241452,-0.0106038971275801,-0.0170541067741279,-0.9997983370699536,,
0.0433338,-60.321311069906656,-252.0538559634346,-964.3485229441616,-0.0569550618246899,-0.0092525507914248,-0.9983338676196444,-1.0736666756019098,-255.54227606071663,-957.5221508764108,-0.0110183383389942,-0.0171465587740362,-0.999792274296244,,
0.0516657,-60.32247280789467,-252.05248202525613,-964.3431318284324,-0.0555970911590202,-0.0114621206939923,-0.9983874915301434,-1.0759188412588614,-255.55083887378748,-957.5295872006508,-0.0103176911345412,-0.0171582868007819,-0.9997995491315818,,
0.060019,-60.323499782307415,-252.05895903712064,-964.3520266826324,-0.0554527556648837,-0.0097788887899535,-0.9984134239999002,-1.0782407852564582,-255.5430787162086,-957.5188375176872,-0.0101001721225802,-0.0176998207814756,-0.9997923298702576,,
0.0683499,-60.32524165845361,-252.05902283017275,-964.352801989853,-0.055685812577342,-0.0106764905662594,-0.9983912573869974,-0.432235473748161,-256.4253767078493,-957.3361424372688,-0.009469846886718,-0.0195182019982007,-0.9997646532012918,,
0.076752,-61.3786588176997,-251.6155309304448,-964.5855378770964,-0.0576304355743945,-0.0108846320276787,-0.9982786473130272,-0.4308808069546437,-256.42547699884983,-957.3362353112122,-0.0094213253456978,-0.0197268654892473,-0.9997610161467088,,
0.0849878,-61.37815101888958,-251.6211298551142,-964.5962152994772,-0.0570120096897818,-0.0081336356845823,-0.9983403601586396,-0.4310696562275034,-256.42625495083905,-957.3365957813656,-0.0102119445810463,-0.0201103776259514,-0.999745612093204,,
0.0933343,-61.37714902102911,-251.6123074950492,-964.5823388810624,-0.0571138297264513,-0.0107093232806653,-0.9983102327677742,-0.4320915104503733,-256.43019103180296,-957.3409034425543,-0.0093325447079365,-0.0197695825046601,-0.9997610050491396,,
0.1017106,-61.38032854146752,-251.62088986227056,-964.595062918887,-0.0568238096305741,-0.0089869731134405,-0.9983437729426304,-0.331212085002992,-253.1171432223489,-958.8917140204736,-0.0106131890588062,-0.0160782407311716,-0.999814407974296,,
0.1099794,-61.639641159489926,-251.7551838135155,-964.6168181202844,-0.0569182108304252,-0.0101532180493221,-0.9983272156157548,-0.3291936700540105,-253.12690932459935,-958.9054660204056,-0.0094217141943357,-0.0149168605394089,-0.9998443471727424,,
0.1184859,-61.643223266070514,-251.75557416599625,-964.611232330224,-0.0567069559100655,-0.0098053940749497,-0.9983427144014464,-0.3311075709312057,-253.1138879007576,-958.8838495533804,-0.011121084276525,-0.0153825604257411,-0.9998198329295443,,
0.1267044,-61.64351443781629,-251.74422655776587,-964.595199917998,-0.0571029628854719,-0.0114489051585797,-0.9983026465958956,-0.3332347717830508,-253.11467395048328,-958.8855377060618,-0.0093548383221813,-0.0165817738915959,-0.9998187494614078,,
0.1349574,-61.64086791348221,-251.75661800199683,-964.6108094769842,-0.0579312076368005,-0.0093746955566894,-0.9982765600097804,0.2532402362964134,-251.42273498781492,-959.578629890052,-0.0092181331421013,-0.014394576067568,-0.9998539004280624,,
0.1433295,-59.72397620636293,-251.43659995620743,-964.7731313389952,-0.0552418010462671,-0.0095724561596773,-0.9984271187724398,0.2582280505190724,-251.43033736214372,-959.57883340631,-0.0097512226844776,-0.0138371961853328,-0.9998567125632984,,
